id,code,prefix,start,end,label
GC160-177,GC160-177,GC,160.0,177.0,Temperature Oceanography
GC177.6-182,GC177.6-182,GC,177.6,182.0,Optical oceanography
GC190-190.5,GC190-190.5,GC,190.0,190.5,Ocean-atmosphere interaction
GC200-376,GC200-376,GC,200.0,376.0,Dynamics of the ocean
GC205-227,GC205-227,GC,205.0,227.0,Waves
GC228.5-228.6,GC228.5-228.6,GC,228.5,228.6,Ocean circulation
GC229-296.8,GC229-296.8,GC,229.0,296.8,Currents
GC297-299,GC297-299,GC,297.0,299.0,Water masses and oceanic mixing
GC300-376,GC300-376,GC,300.0,376.0,Tides
GC377-399,GC377-399,GC,377.0,399.0,Marine sediments
GC401-881,GC401-881,GC,401.0,881.0,Oceanography.  By region
GC1000-1023,GC1000-1023,GC,1000.0,1023.0,Marine resources.  Applied oceanography
GC1080-1581,GC1080-1581,GC,1080.0,1581.0,Marine pollution.  Sea water pollution
GE1-350,GE1-350,GE,1.0,350.0,Environmental sciences
GE70-90,GE70-90,GE,70.0,90.0,Environmental education
GE170-190,GE170-190,GE,170.0,190.0,Environmental policy
GE195-199,GE195-199,GE,195.0,199.0,Environmentalism.  Green movement
GE300-350,GE300-350,GE,300.0,350.0,Environmental management
GF1-900,GF1-900,GF,1.0,900.0,Human ecology.  Anthropogeography
GF51,GF51,GF,51.0,51.0,Environmental influences on humans
GF75,GF75,GF,75.0,75.0,Human influences on the environment
GF101-127,GF101-127,GF,101.0,127.0,Settlements
GF125,GF125,GF,125.0,125.0,Cities.  Urban geography
GF127,GF127,GF,127.0,127.0,Rural settlements.  Rural geography
GF500-900,GF500-900,GF,500.0,900.0,By region or country
GN1-890,GN1-890,GN,1.0,890.0,Anthropology
GN49-298,GN49-298,GN,49.0,298.0,Physical anthropology.  Somatology
GN51-59,GN51-59,GN,51.0,59.0,Anthropometry
GN62.8-265,GN62.8-265,GN,62.8,265.0,Human variation
GN269-279,GN269-279,GN,269.0,279.0,Race (General)
GN280.7,GN280.7,GN,280.7,280.7,Man as an animal.  Simian traits versus human traits
GN281-289,GN281-289,GN,281.0,289.0,Human evolution
GN282-286.7,GN282-286.7,GN,282.0,286.7,Fossil man.  Human paleontology
GN296-296.5,GN296-296.5,GN,296.0,296.5,Medical anthropology
GN301-674,GN301-674,GN,301.0,674.0,Ethnology.  Social and cultural anthropology
GN357-367,GN357-367,GN,357.0,367.0,Culture and cultural processes
GN378-396,GN378-396,GN,378.0,396.0,Collected ethnographies
GN397-397.7,GN397-397.7,GN,397.0,397.7,Applied anthropology
GN406-517,GN406-517,GN,406.0,517.0,"Cultural traits, customs, and institutions"
GN406-442,GN406-442,GN,406.0,442.0,Technology.  Material culture
GN448-450.8,GN448-450.8,GN,448.0,450.8,Economic organization.  Economic anthropology
GN451-477.7,GN451-477.7,GN,451.0,477.7,Intellectual life
GN478-491.7,GN478-491.7,GN,478.0,491.7,Social organization
GN492-495.2,GN492-495.2,GN,492.0,495.2,Political organization.  Political anthropology
GN495.4-498,GN495.4-498,GN,495.4,498.0,"Societal groups, ethnocentrism, diplomacy, warfare, etc."
GN502-517,GN502-517,GN,502.0,517.0,Psychological anthropology
GN537-674,GN537-674,GN,537.0,674.0,Ethnic groups and races
GN550-674,GN550-674,GN,550.0,674.0,By region or country
GN700-890,GN700-890,GN,700.0,890.0,Prehistoric archaeology
GR1-950,GR1-950,GR,1.0,950.0,Folklore
