?item	?itemLabel	?startDate	?endDate	?location	?locationLabel	?instanceOf	?instanceOfLabel	?partOf	?partOfLabel	?follows	?followsLabel	?followedBy	?followedByLabel	?subclassOf	?subclassOfLabel	?commonsCategory	?lcnaf
<http://www.wikidata.org/entity/Q1155700>	Rattanakosin Kingdom@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q1115291>	Thonburi Kingdom@en	null	null	<http://www.wikidata.org/entity/Q379391>	history of Thailand@en	null	null
<http://www.wikidata.org/entity/Q115664693>	Selucid Period@en	-0311-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0062-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q115667399>	Persian period@en	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q115667399>	Persian period@en	-0549-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0329-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114869307>	Neo Babylonian Period@en	<http://www.wikidata.org/entity/Q115664693>	Selucid Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q115685505>	First Dynasty of Kish@en	null	null	null	null	<http://www.wikidata.org/entity/Q164950>	dynasty@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q115693235>	First Dynasty of Uruk@en	null	null	null	null	<http://www.wikidata.org/entity/Q164950>	dynasty@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q1158280>	Damascus Spring@en	2000-06-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	2001-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q116123>	end of the Han dynasty@en	0189-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0220-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q1164547>	Khrushchev Thaw@en	1954-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	1964-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q11756>	prehistory@en	null	null	null	null	<http://www.wikidata.org/entity/Q24457356>	historiographical concept@en	null	null	null	null	<http://www.wikidata.org/entity/Q41493>	ancient history@en	<http://www.wikidata.org/entity/Q465299>	archaeological culture@en	Prehistory	sh85080302
<http://www.wikidata.org/entity/Q11772>	Ancient Greece@en	-1200-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0600-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q28171280>	ancient civilization@en	<http://www.wikidata.org/entity/Q7794>	history of Greece@en	null	null	null	null	null	null	Ancient Greece	null
<http://www.wikidata.org/entity/Q1189518>	Middle kingdoms of India@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q1192817>	Burmese Way to Socialism@en	null	null	null	null	<http://www.wikidata.org/entity/Q12909644>	political ideology@en	null	null	null	null	null	null	<http://www.wikidata.org/entity/Q38352698>	ultranationalism@en	null	sh92002198
<http://www.wikidata.org/entity/Q1196237>	Proto-Elamite period@en	-3099-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-2699-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q128904>	Elam@en	<http://www.wikidata.org/entity/Q15401633>	archaeological period@en	<http://www.wikidata.org/entity/Q35355>	Sumer@en	<http://www.wikidata.org/entity/Q731494>	Uruk period@en	<http://www.wikidata.org/entity/Q29297301>	Old Elamite period@en	null	null	Proto-Elamite period	null
<http://www.wikidata.org/entity/Q1197281>	Six Dynasties@en	0220-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0589-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q29428439>	hexad@en	<http://www.wikidata.org/entity/Q836465>	Wei, Jin, Southern and Northern dynasties@en	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q1200427>	culture of ancient Rome@en	null	null	null	null	<http://www.wikidata.org/entity/Q19958368>	culture of an area@en	null	null	null	null	null	null	<http://www.wikidata.org/entity/Q13152690>	culture of the Earth@en	Culture of ancient Rome	null
<http://www.wikidata.org/entity/Q1201263>	Warlord Era@en	1916-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	1928-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q29520>	China@en	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	Warlords of China	sh85024109
<http://www.wikidata.org/entity/Q1201472>	post-war@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	<http://www.wikidata.org/entity/Q192781>	military history@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null
<http://www.wikidata.org/entity/Q1203967>	Iberia@en	null	null	null	null	<http://www.wikidata.org/entity/Q2221906>	geographic location@en	null	null	<http://www.wikidata.org/entity/Q366971>	prehistoric Iberia@en	<http://www.wikidata.org/entity/Q1227125>	Roman Hispania@en	<http://www.wikidata.org/entity/Q28171280>	ancient civilization@en	Pre-Roman Iberia	null
<http://www.wikidata.org/entity/Q1204796>	Metapolitefsi@en	1974-07-23T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q504081>	Greek junta@en	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q1204808>	history of modern Greece@en	1822-01-15T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	null	<http://www.wikidata.org/entity/Q17544377>	history of a country or state@en	<http://www.wikidata.org/entity/Q7794>	history of Greece@en	null	null	null	null	<http://www.wikidata.org/entity/Q7794>	history of Greece@en	History of modern Greece	sh85057096
<http://www.wikidata.org/entity/Q1206012>	German Reich@en	null	null	null	null	<http://www.wikidata.org/entity/Q3024240>	historical country@en	null	null	null	null	null	null	null	null	German Reich	null
<http://www.wikidata.org/entity/Q121932>	People's Republic of Bulgaria@en	null	null	null	null	<http://www.wikidata.org/entity/Q3024240>	historical country@en	null	null	<http://www.wikidata.org/entity/Q147909>	Kingdom of Bulgaria@en	null	null	null	null	People's Republic of Bulgaria	sh93000099
<http://www.wikidata.org/entity/Q12544>	Byzantine Empire@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	<http://www.wikidata.org/entity/Q3940476>	Medieval Rome@en	<http://www.wikidata.org/entity/Q137185582>	Eastern Roman Empire@en	<http://www.wikidata.org/entity/Q12490507>	Rashidun Caliphate@en	null	null	Byzantine Empire	n80085269
<http://www.wikidata.org/entity/Q1254630>	Spartan hegemony@en	-0403-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0370-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q12554>	Middle Ages@en	0476-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	1500-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q46>	Europe@en	<http://www.wikidata.org/entity/Q17522177>	age@en	null	null	<http://www.wikidata.org/entity/Q217050>	late antiquity@en	<http://www.wikidata.org/entity/Q5308718>	early modern period@en	<http://www.wikidata.org/entity/Q2198855>	cultural movement@en	Middle Ages	sh85085001
<http://www.wikidata.org/entity/Q12567>	Vikings@en	0793-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	Vikings	null
<http://www.wikidata.org/entity/Q126416>	Phagmodrupa dynasty@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	<http://www.wikidata.org/entity/Q521263>	history of Tibet@en	null	null
<http://www.wikidata.org/entity/Q1269201>	Age of Goethe@en	1770-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	1830-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q128938>	Shang dynasty@en	null	null	null	null	<http://www.wikidata.org/entity/Q12857432>	Chinese dynasty@en	<http://www.wikidata.org/entity/Q10756408>	Three Dynasties@en	null	null	null	null	null	null	Shang Dynasty	sh85024034
<http://www.wikidata.org/entity/Q129167>	barracks emperor@en	0235-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0284-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2277>	Roman Empire@en	<http://www.wikidata.org/entity/Q11514315>	historical period@en	<http://www.wikidata.org/entity/Q105747936>	Roman Egypt Era@en	null	null	null	null	<http://www.wikidata.org/entity/Q842606>	Roman emperor@en	null	null
