property,propertyLabel,propertyDescription,type
http://www.wikidata.org/entity/P426,aircraft registration,identifier assigned to an individual aircraft by civil aircraft registry,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P427,taxonomic type,type genus or species: [in zoology:] nominal genus or species that is the name-bearing type of this nominal family or genus (or family-group ranked taxon or subgenus); type specimen that is the name-bearing type of this nominal species or subspecies,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P428,botanist author abbreviation,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P429,dantai code,"6-digit identifier for an administrative division of Japan, assigned by Ministry of Internal Affairs and Communications",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P432,callsign of airline,identifier used in radio transmissions to refer to the subject airline,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P433,issue,"issue of a newspaper, a scientific journal or magazine for reference purpose",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P434,MusicBrainz artist ID,identifier for an artist in the MusicBrainz open music encyclopedia,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P435,MusicBrainz work ID,identifier for a work per the MusicBrainz open music encyclopedia,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P436,MusicBrainz release group ID,"identifier for a release group per the MusicBrainz open music encyclopedia (album, single, etc.)",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P437,distribution format,method (or type) of distribution for the subject,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P439,German municipality key,numerical code for municipalities and independent towns in Germany,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P440,German district key,numerical code for districts (Landkreise) and independent towns in Germany,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P442,China division code for Statistics,identifier for divisions of People's Republic of China for Statistics (with spaces),http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P443,pronunciation audio,audio file with pronunciation,http://wikiba.se/ontology#CommonsMedia
http://www.wikidata.org/entity/P444,review score,review score received by a creative work or other entity,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P447,review score by,issuer of a review score,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P450,astronaut mission,space mission that the subject is or has been a member of (do not include future missions),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P452,industry,specific industry of company or organization,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P453,character role,"specific role played or filled by subject -- use only as qualifier of ""cast member"" (P161), ""voice actor"" (P725)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P454,Structurae structure ID,identifier for a building in the Structurae database,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P455,Emporis building ID,"former identifier for a building in the defunct Emporis database (for building complexes, see P2270)",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P457,foundational text,text through which an institution or object has been created or established,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P458,IMO ship number,"identifier for a ship, ship owner or ship manager per the International Maritime Organization",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P459,determination method or standard,"how a value is determined, or the standard by which it is declared",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P461,opposite of,item that is in some way the opposite of this item,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P462,color,color of subject,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P464,NOR numbering ID,identifier for French official texts,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P465,sRGB color hex triplet,"sRGB hex triplet format for subject color (e.g. 7FFFD4) specifying the 8-bit red, green and blue components",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P466,occupant,person or organization occupying property,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P468,dan/kyu rank,"rank system used in several board games (e.g. go, shogi, renju), martial arts (e.g. judo, kendo, wushu) and some other games",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P469,lake on watercourse,lake or reservoir through which the river or stream flows,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P470,Eight Banner register,Manchu household register for people of the Qing Dynasty,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P473,local dialing code,identifier dedicated to subject city by the area communication network,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P474,telephone country code,identifier for a country - dialed on phone after the international dialing prefix (precede value by +),http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P476,CELEX number,identifier for European legal texts in EUR-Lex database,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P477,Canadian Register of Historic Places ID,identifier in the Canadian Register of Historic Places,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P478,volume,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P479,input device,input device used to interact with a software or a device,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P480,FilmAffinity film ID,FilmAffinity identification number of a creative work,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P481,Palissy ID,identifier in the Palissy database of moveable objects of French cultural heritage,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P483,recorded at studio or venue,studio or location where a musical composition/release was recorded,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P484,"IMA Number, broad sense","identifier for a mineral per the International Mineralogical Association - Commission on New Minerals, Nomenclature and Classification (IMA-CNMNC)",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P485,archives at,the institution holding the subject's archives,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P486,MeSH descriptor ID,identifier for Descriptor or Supplementary concept in the Medical Subject Headings controlled vocabulary,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P487,Unicode character,"Unicode character representing the item (only if this is not a control character or a compatiblity character: in that case, use only P4213)",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P488,chairperson,"presiding member of an organization, group or body",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P489,currency symbol description,item with description of currency symbol,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P490,provisional designation,designation of an astronomical body after its discovery and before its official name,http://wikiba.se/ontology#String
