id,label,federation,domain,uri,concept_ref,temporal_start,temporal_end,survey_depth,is_seed,prefix,start,end
E756-760,"Theodore Roosevelt's administrations, September 14, 1901-1909",lcc,lcc,https://id.loc.gov/authorities/classification/E756-760,https://id.loc.gov/authorities/classification/E756-760,,,0,False,E,756.0,760.0
E761-765,"Taft's administration, 1909-1913",lcc,lcc,https://id.loc.gov/authorities/classification/E761-765,https://id.loc.gov/authorities/classification/E761-765,,,0,False,E,761.0,765.0
E766-783,"Wilson's administrations, 1913-1921",lcc,lcc,https://id.loc.gov/authorities/classification/E766-783,https://id.loc.gov/authorities/classification/E766-783,,,0,False,E,766.0,783.0
E768,"Purchase of Danish West Indies (Virgin Islands), 1917",lcc,lcc,https://id.loc.gov/authorities/classification/E768,https://id.loc.gov/authorities/classification/E768,,,0,False,E,768.0,768.0
E780,Internal history during World War I,lcc,lcc,https://id.loc.gov/authorities/classification/E780,https://id.loc.gov/authorities/classification/E780,,,0,False,E,780.0,780.0
E784-805,"1919-1933.  Harding-Coolidge-Hoover era.  ""The twenties""",lcc,lcc,https://id.loc.gov/authorities/classification/E784-805,https://id.loc.gov/authorities/classification/E784-805,,,0,False,E,784.0,805.0
E785-786,"Harding's administration, 1921-August 2, 1923",lcc,lcc,https://id.loc.gov/authorities/classification/E785-786,https://id.loc.gov/authorities/classification/E785-786,,,0,False,E,785.0,786.0
E791-796,"Coolidge's administration, August 2, 1923-1929",lcc,lcc,https://id.loc.gov/authorities/classification/E791-796,https://id.loc.gov/authorities/classification/E791-796,,,0,False,E,791.0,796.0
E801-805,"Hoover's administration, 1919-1933",lcc,lcc,https://id.loc.gov/authorities/classification/E801-805,https://id.loc.gov/authorities/classification/E801-805,,,0,False,E,801.0,805.0
E806-812,"Franklin Delano Roosevelt's administrations, 1933-April 12, 1945",lcc,lcc,https://id.loc.gov/authorities/classification/E806-812,https://id.loc.gov/authorities/classification/E806-812,,,0,False,E,806.0,812.0
E813-816,"Truman's administrations, April 12, 1945-1953",lcc,lcc,https://id.loc.gov/authorities/classification/E813-816,https://id.loc.gov/authorities/classification/E813-816,,,0,False,E,813.0,816.0
E835-837.7,"Eisenhower's administrations, 1953-1961",lcc,lcc,https://id.loc.gov/authorities/classification/E835-837.7,https://id.loc.gov/authorities/classification/E835-837.7,,,0,False,E,835.0,837.7
E838-889,"Later twentieth century, 1961-2000",lcc,lcc,https://id.loc.gov/authorities/classification/E838-889,https://id.loc.gov/authorities/classification/E838-889,,,0,False,E,838.0,889.0
E838-840.8,General,lcc,lcc,https://id.loc.gov/authorities/classification/E838-840.8,https://id.loc.gov/authorities/classification/E838-840.8,,,0,False,E,838.0,840.8
E838.3,Sources and documents,lcc,lcc,https://id.loc.gov/authorities/classification/E838.3,https://id.loc.gov/authorities/classification/E838.3,,,0,False,E,838.3,838.3
E839.5-839.8,Political history,lcc,lcc,https://id.loc.gov/authorities/classification/E839.5-839.8,https://id.loc.gov/authorities/classification/E839.5-839.8,,,0,False,E,839.5,839.8
E839.8,Un-American activities,lcc,lcc,https://id.loc.gov/authorities/classification/E839.8,https://id.loc.gov/authorities/classification/E839.8,,,0,False,E,839.8,839.8
E840-840.2,Diplomatic history.  Foreign and general relations,lcc,lcc,https://id.loc.gov/authorities/classification/E840-840.2,https://id.loc.gov/authorities/classification/E840-840.2,,,0,False,E,840.0,840.2
E840.6-840.8,Biography (General),lcc,lcc,https://id.loc.gov/authorities/classification/E840.6-840.8,https://id.loc.gov/authorities/classification/E840.6-840.8,,,0,False,E,840.6,840.8
E841-843,"Kennedy's administration, 1961-November 22, 1963",lcc,lcc,https://id.loc.gov/authorities/classification/E841-843,https://id.loc.gov/authorities/classification/E841-843,,,0,False,E,841.0,843.0
E842.9,"Assassination, funeral, memorial services, etc.",lcc,lcc,https://id.loc.gov/authorities/classification/E842.9,https://id.loc.gov/authorities/classification/E842.9,,,0,False,E,842.9,842.9
E846-851,"Johnson's administrations, November 22, 1963-1969",lcc,lcc,https://id.loc.gov/authorities/classification/E846-851,https://id.loc.gov/authorities/classification/E846-851,,,0,False,E,846.0,851.0
E855-861,"Nixon's administrations, 1969-August 9, 1974",lcc,lcc,https://id.loc.gov/authorities/classification/E855-861,https://id.loc.gov/authorities/classification/E855-861,,,0,False,E,855.0,861.0
E860-861,Watergate Affair.  Resignation,lcc,lcc,https://id.loc.gov/authorities/classification/E860-861,https://id.loc.gov/authorities/classification/E860-861,,,0,False,E,860.0,861.0
E865-868,"Ford's administration, August 9, 1974-1977",lcc,lcc,https://id.loc.gov/authorities/classification/E865-868,https://id.loc.gov/authorities/classification/E865-868,,,0,False,E,865.0,868.0
E872-875,"Carter's administration, 1977-1981",lcc,lcc,https://id.loc.gov/authorities/classification/E872-875,https://id.loc.gov/authorities/classification/E872-875,,,0,False,E,872.0,875.0
E876-880,"Reagan's administrations, 1981-1989",lcc,lcc,https://id.loc.gov/authorities/classification/E876-880,https://id.loc.gov/authorities/classification/E876-880,,,0,False,E,876.0,880.0
E877.3,Assassination attempt,lcc,lcc,https://id.loc.gov/authorities/classification/E877.3,https://id.loc.gov/authorities/classification/E877.3,,,0,False,E,877.3,877.3
E881-884,"George H.W. Bush's administration, 1989-1993",lcc,lcc,https://id.loc.gov/authorities/classification/E881-884,https://id.loc.gov/authorities/classification/E881-884,,,0,False,E,881.0,884.0
E885-889,"Clinton's administrations, 1993-2001",lcc,lcc,https://id.loc.gov/authorities/classification/E885-889,https://id.loc.gov/authorities/classification/E885-889,,,0,False,E,885.0,889.0
E895-904,Twenty-first century,lcc,lcc,https://id.loc.gov/authorities/classification/E895-904,https://id.loc.gov/authorities/classification/E895-904,,,0,False,E,895.0,904.0
E902-906,"George W. Bush's administrations, 2001-2009",lcc,lcc,https://id.loc.gov/authorities/classification/E902-906,https://id.loc.gov/authorities/classification/E902-906,,,0,False,E,902.0,906.0
E907-909,"Barack Obama's administration, 2009-",lcc,lcc,https://id.loc.gov/authorities/classification/E907-909,https://id.loc.gov/authorities/classification/E907-909,,,0,False,E,907.0,909.0
