pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
108776,Augustomagus,settlement,-30,2100,2975088,,PPLA3,Q126668,Senlis,49.207222222222,2.5866666666667,,,,,true,false,true,true,false
108776,Augustomagus,settlement,-30,2100,6454459,,ADM4,Q126668,Senlis,49.207222222222,2.5866666666667,,,,,true,false,true,true,false
108778,Autricum,settlement,-30,2100,3026466,,ADM3,Q700901,arrondissement of Chartres,48.416666666667,1.5,,,,,true,false,true,true,false
108778,Autricum,settlement,-30,2100,3026467,,PPLA2,Q130272,Chartres,48.446666666667,1.4883333333333,,,,,true,false,true,true,false
108778,Autricum,settlement,-30,2100,6448031,,ADM4,,,,,,,,,false,false,true,false,false
108788,Bagacum,settlement,-30,2100,3034514,,PPL,Q477176,Bavay,50.2975,3.7980555555556,,,,,true,false,true,true,false
108788,Bagacum,settlement,-30,2100,6455197,,ADM4,,,,,,,,,false,false,true,false,false
108809,Bingium,settlement,-30,2100,2948825,,PPL,Q31913573,Bingen am Rhein,49.966666666667,7.8991666666667,,,,,true,false,true,true,false
108809,Bingium,settlement,-30,2100,6557927,,ADM4,Q285879,Bingen am Rhein,49.966944444444,7.895,,,,,true,false,true,true,false
108818,Bonna,fort,-30,640,2946447,,PPLA3,Q31917795,Bonn,50.73616,7.1002,,,,,true,false,true,true,false
108820,Borbetomagus,settlement,-30,640,2806142,,PPLA3,,,,,,,,,false,false,true,false,false
108833,Gallo-Roman Sanctuary at Bû,sanctuary,-30,2100,3029705,,PPL,Q626918,Bû,48.796388888889,1.4952777777778,,,,,true,false,true,true,false
108833,Gallo-Roman Sanctuary at Bû,sanctuary,-30,2100,6448018,,ADM4,,,,,,,,,false,false,true,false,false
108840,Buzenol,settlement,300,2100,2800698,,PPL,,,,,,,,,false,false,true,false,false
108844,Caesaromagus,settlement,-30,2100,3034005,,ADM3,Q534383,arrondissement of Beauvais,49.43333333,2.06666667,,,,,true,false,true,true,false
108844,Caesaromagus,settlement,-30,2100,3034006,,PPLA2,,,,,,,,,false,false,true,false,false
108844,Caesaromagus,settlement,-30,2100,6450128,,ADM4,Q174257,Beauvais,49.434166666667,2.0875,,,,,true,false,true,true,false
108844,Caesaromagus,settlement,-30,2100,6450128,,ADM4,Q84321409,Beauvais,49.434166666,2.0875,,,,,true,false,true,true,false
108850,Camaracum,settlement,-30,2100,3029030,,PPLA3,Q181285,Cambrai,50.175833333333,3.2347222222222,,,,,true,false,true,true,false
108850,Camaracum,settlement,-30,2100,3029030,,PPLA3,Q84243457,Cambrai,50.175833333,3.234722222,,,,,true,false,true,true,false
108850,Camaracum,settlement,-30,2100,6454400,,ADM4,Q84243457,Cambrai,50.175833333,3.234722222,,,,,true,false,true,true,false
108852,Sanctuary of Mercury Canetonnessis,"findspot, sanctuary, settlement-modern",-30,2100,3033186,,PPL,Q472019,Berthouville,49.179444444444,0.63472222222222,,,,,true,false,true,true,false
108852,Sanctuary of Mercury Canetonnessis,"findspot, sanctuary, settlement-modern",-30,2100,6447959,,ADM4,,,,,,,,,false,false,true,false,false
108865,Castellum Menapiorum,settlement,-30,2099,6454401,,ADM4,Q11160,Cassel,50.8,2.4872222222222,,,,,true,false,true,true,false
108867,Castra Vetera,fort-2,-30,2100,2805385,,PPL,,,,,,,,,false,false,true,false,false
108867,Castra Vetera,fort-2,-30,2100,2948349,,PPL,,,,,,,,,false,false,true,false,false
