pleiades_id,pleiades_url,place_label,place_type,min_date,max_date,geonames_id,geonames_url,geonames_label,match_type,distance_km,pleiades_location_precision,pleiades_feature_types,geonames_feature_code,geonames_feature_code_label
599641,http://pleiades.stoa.org/places/599641,Heraion,"sanctuary, archaeological-site, temple-2",-750,2100,443459,http://sws.geonames.org/443459/,,distance,1.151,precise,"sanctuary, temple-2",PPL,populated place
599641,http://pleiades.stoa.org/places/599641,Heraion,"sanctuary, archaeological-site, temple-2",-750,2100,9535175,http://sws.geonames.org/9535175/,,bbox,0.0,precise,"sanctuary, temple-2",ANS,archaeological/prehistoric site
599642,http://pleiades.stoa.org/places/599642,Herakleia (island),island,-30,2100,261746,http://sws.geonames.org/261746/,Nisí Irákleia,bbox,0.0,precise,island,ISL,island
599642,http://pleiades.stoa.org/places/599642,Herakleia (island),island,-30,2100,261749,http://sws.geonames.org/261749/,Heraklia,bbox,0.0,precise,island,PPL,populated place
599651,http://pleiades.stoa.org/places/599651,*Hydai/*Kydai,"settlement, acropolis",-2000,2100,10254317,http://sws.geonames.org/10254317/,Damlıboğaz,distance,0.551,precise,"settlement, acropolis",PPL,populated place
599652,http://pleiades.stoa.org/places/599652,Hydas,settlement,-30,1999,10254535,http://sws.geonames.org/10254535/,Hydas,distance,4.849,precise,settlement,ANS,archaeological/prehistoric site
599653931,http://pleiades.stoa.org/places/599653931,Saghmosavank,abbey,1200,2100,11231107,http://sws.geonames.org/11231107/,Saghmosavank’,distance,0.424,precise,abbey,MSTY,monastery
599664,http://pleiades.stoa.org/places/599664,Iasos,settlement,-550,640,7733363,http://sws.geonames.org/7733363/,,distance,0.152,precise,settlement,ANS,archaeological/prehistoric site
599667,http://pleiades.stoa.org/places/599667,Ikaros (island),island,-30,2100,8133747,http://sws.geonames.org/8133747/,,distance,7.907,precise,island,ADM3,third-order administrative division
599672,http://pleiades.stoa.org/places/599672,Ios (settlement),"settlement, settlement-modern",-750,2100,261771,http://sws.geonames.org/261771/,Ios,distance,4.564,precise,"settlement, settlement-modern",ISL,island
599672,http://pleiades.stoa.org/places/599672,Ios (settlement),"settlement, settlement-modern",-750,2100,261772,http://sws.geonames.org/261772/,Íos,distance,1.136,precise,"settlement, settlement-modern",PPLA3,seat of a third-order administrative division
599672,http://pleiades.stoa.org/places/599672,Ios (settlement),"settlement, settlement-modern",-750,2100,8133833,http://sws.geonames.org/8133833/,,distance,4.275,precise,"settlement, settlement-modern",ADM3,third-order administrative division
599673,http://pleiades.stoa.org/places/599673,Ios (island),island,1700,2100,261771,http://sws.geonames.org/261771/,Ios,distance,0.035,precise,island,ISL,island
599673,http://pleiades.stoa.org/places/599673,Ios (island),island,1700,2100,261772,http://sws.geonames.org/261772/,Íos,distance,4.826,precise,island,PPLA3,seat of a third-order administrative division
599673,http://pleiades.stoa.org/places/599673,Ios (island),island,1700,2100,8133833,http://sws.geonames.org/8133833/,,distance,0.523,precise,island,ADM3,third-order administrative division
599675,http://pleiades.stoa.org/places/599675,Istros (island),island,1700,2100,251363,http://sws.geonames.org/251363/,Nisída Gyalí,bbox,0.0,rough,island,ISL,island
599679,http://pleiades.stoa.org/places/599679,Kalinos (island),island,1700,2100,11054598,http://sws.geonames.org/11054598/,Plati,bbox,0.0,precise,island,PPL,populated place
599695861,http://pleiades.stoa.org/places/599695861,Pyramid of Menkaure,pyramid,-2670,2100,6301906,http://sws.geonames.org/6301906/,,distance,0.061,precise,pyramid,PYR,pyramid
599708,http://pleiades.stoa.org/places/599708,Keria (island),island,1700,2100,260906,http://sws.geonames.org/260906/,Nisída Kéros,bbox,0.0,precise,island,ISL,island
599719,http://pleiades.stoa.org/places/599719,Klaros,"sanctuary, temple-2",-750,300,8410831,http://sws.geonames.org/8410831/,,bbox,0.0,precise,"sanctuary, temple-2",ANS,archaeological/prehistoric site
599728,http://pleiades.stoa.org/places/599728,Kos (settlement),settlement,-750,1599,259245,http://sws.geonames.org/259245/,Kos,bbox,0.0,precise,settlement,PPLA3,seat of a third-order administrative division
599747,http://pleiades.stoa.org/places/599747,Lagina,"settlement, archaeological-site",-330,300,8224700,http://sws.geonames.org/8224700/,,distance,0.103,precise,settlement,ANS,archaeological/prehistoric site
599763,http://pleiades.stoa.org/places/599763,Leros,settlement,-750,640,258478,http://sws.geonames.org/258478/,Léros Island,distance,1.661,precise,settlement,ISL,island
599763,http://pleiades.stoa.org/places/599763,Leros,settlement,-750,640,7535470,http://sws.geonames.org/7535470/,,distance,0.149,precise,settlement,RSRT,resort
599764,http://pleiades.stoa.org/places/599764,Leros (island),island,-30,2100,258478,http://sws.geonames.org/258478/,Léros Island,distance,5.695,precise,island,ISL,island
599764,http://pleiades.stoa.org/places/599764,Leros (island),island,-30,2100,7535470,http://sws.geonames.org/7535470/,,distance,4.943,precise,island,RSRT,resort
599774,http://pleiades.stoa.org/places/599774,Loryma,settlement,-550,300,10252765,http://sws.geonames.org/10252765/,Loryma,distance,0.374,precise,settlement,ANS,archaeological/prehistoric site
599778,http://pleiades.stoa.org/places/599778,Magnesia ad Maeandrum/Leukophrys,"settlement, archaeological-site",-550,2099,7733351,http://sws.geonames.org/7733351/,,bbox,0.0,precise,settlement,RUIN,ruin(s)
599799,http://pleiades.stoa.org/places/599799,Miletus,"settlement, port, archaeological-site",-1750,2000,10182607,http://sws.geonames.org/10182607/,Milet Harabeleri,bbox,0.0,precise,"settlement, port",ANS,archaeological/prehistoric site
599799,http://pleiades.stoa.org/places/599799,Miletus,"settlement, port, archaeological-site",-1750,2000,322215,http://sws.geonames.org/322215/,,bbox,0.0,precise,"settlement, port",PPL,populated place
599799,http://pleiades.stoa.org/places/599799,Miletus,"settlement, port, archaeological-site",-1750,2000,9534929,http://sws.geonames.org/9534929/,,distance,0.866,precise,"settlement, port",ANS,archaeological/prehistoric site
599801,http://pleiades.stoa.org/places/599801,*Mobolla,settlement,-330,640,304184,http://sws.geonames.org/304184/,,distance,1.511,precise,settlement,PPLA,seat of a first-order administrative division
599807,http://pleiades.stoa.org/places/599807,Mykonos (settlement),settlement,-750,640,257055,http://sws.geonames.org/257055/,Mykonos,distance,4.851,precise,settlement,ISL,island
599807,http://pleiades.stoa.org/places/599807,Mykonos (settlement),settlement,-750,640,257056,http://sws.geonames.org/257056/,Mykonos,distance,0.075,precise,settlement,PPL,populated place
599807,http://pleiades.stoa.org/places/599807,Mykonos (settlement),settlement,-750,640,8133933,http://sws.geonames.org/8133933/,,distance,2.249,precise,settlement,ADM3,third-order administrative division
599807,http://pleiades.stoa.org/places/599807,Mykonos (settlement),settlement,-750,640,8538487,http://sws.geonames.org/8538487/,,distance,3.402,precise,settlement,ADMD,administrative division
599808,http://pleiades.stoa.org/places/599808,Mykonos (island),island,-550,2100,257055,http://sws.geonames.org/257055/,Mykonos,distance,1.619,precise,island,ISL,island
599808,http://pleiades.stoa.org/places/599808,Mykonos (island),island,-550,2100,257056,http://sws.geonames.org/257056/,Mykonos,distance,3.692,precise,island,PPL,populated place
599808,http://pleiades.stoa.org/places/599808,Mykonos (island),island,-550,2100,8133933,http://sws.geonames.org/8133933/,,distance,1.524,precise,island,ADM3,third-order administrative division
599808,http://pleiades.stoa.org/places/599808,Mykonos (island),island,-550,2100,8538487,http://sws.geonames.org/8538487/,,distance,0.526,precise,island,ADMD,administrative division
599809,http://pleiades.stoa.org/places/599809,Mylasa,settlement,-550,640,304355,http://sws.geonames.org/304355/,,distance,1.617,precise,settlement,PPLA2,seat of a second-order administrative division
599810,http://pleiades.stoa.org/places/599810,Mylasa,labeled feature,-550,-330,304355,http://sws.geonames.org/304355/,,bbox,0.0,rough,labeled feature,PPLA2,seat of a second-order administrative division
599821,http://pleiades.stoa.org/places/599821,Naxos (settlement),settlement,-750,640,256632,http://sws.geonames.org/256632/,Naxos,distance,0.216,precise,settlement,PPLA3,seat of a third-order administrative division
599822,http://pleiades.stoa.org/places/599822,Naxos (island),island,-550,2100,256631,http://sws.geonames.org/256631/,Naxos,distance,2.533,precise,island,ISL,island
599829,http://pleiades.stoa.org/places/599829,Nisyros (settlement),settlement,-750,640,11395965,http://sws.geonames.org/11395965/,Nisyros,distance,4.263,precise,settlement,ANS,archaeological/prehistoric site
599829,http://pleiades.stoa.org/places/599829,Nisyros (settlement),settlement,-750,640,256378,http://sws.geonames.org/256378/,Nisí Nísyros,distance,0.452,precise,settlement,ISL,island
599829,http://pleiades.stoa.org/places/599829,Nisyros (settlement),settlement,-750,640,8133958,http://sws.geonames.org/8133958/,,distance,1.795,precise,settlement,ADM3,third-order administrative division
599830,http://pleiades.stoa.org/places/599830,Nisyros (island),island,-30,2100,11395965,http://sws.geonames.org/11395965/,Nisyros,distance,4.144,precise,island,ANS,archaeological/prehistoric site
599830,http://pleiades.stoa.org/places/599830,Nisyros (island),island,-30,2100,256378,http://sws.geonames.org/256378/,Nisí Nísyros,distance,0.808,precise,island,ISL,island
599830,http://pleiades.stoa.org/places/599830,Nisyros (island),island,-30,2100,8133958,http://sws.geonames.org/8133958/,,distance,1.621,precise,island,ADM3,third-order administrative division
599832,http://pleiades.stoa.org/places/599832,Nysa/Athymbra,settlement,-550,640,11962589,http://sws.geonames.org/11962589/,Nysa,distance,0.931,precise,settlement,RUIN,ruin(s)
599855,http://pleiades.stoa.org/places/599855,Panionion,sanctuary,-750,300,9889292,http://sws.geonames.org/9889292/,,distance,4.393,precise,sanctuary,ANS,archaeological/prehistoric site
599856,http://pleiades.stoa.org/places/599856,Panormos (Mykonos),"harbor, bay",2000,2099,6951116,http://sws.geonames.org/6951116/,,bbox,0.0,rough,labeled feature,PPLL,populated locality
599862,http://pleiades.stoa.org/places/599862,Panormos (Kalymna),bay,,,6951006,http://sws.geonames.org/6951006/,,bbox,0.0,rough,labeled feature,PPL,populated place
599867,http://pleiades.stoa.org/places/599867,Paros (settlement),settlement,-750,640,255720,http://sws.geonames.org/255720/,Paros,distance,4.554,precise,settlement,ISL,island
599867,http://pleiades.stoa.org/places/599867,Paros (settlement),settlement,-750,640,255721,http://sws.geonames.org/255721/,Paros,distance,0.281,precise,settlement,PPLA3,seat of a third-order administrative division
599867,http://pleiades.stoa.org/places/599867,Paros (settlement),settlement,-750,640,8133699,http://sws.geonames.org/8133699/,,distance,4.709,precise,settlement,ADM3,third-order administrative division
599868,http://pleiades.stoa.org/places/599868,Paros (island),island,1700,2100,255720,http://sws.geonames.org/255720/,Paros,distance,0.833,precise,island,ISL,island
599868,http://pleiades.stoa.org/places/599868,Paros (island),island,1700,2100,255721,http://sws.geonames.org/255721/,Paros,distance,5.131,precise,island,PPLA3,seat of a third-order administrative division
599868,http://pleiades.stoa.org/places/599868,Paros (island),island,1700,2100,8133699,http://sws.geonames.org/8133699/,,distance,1.05,precise,island,ADM3,third-order administrative division
599871,http://pleiades.stoa.org/places/599871,Patmos,settlement,-750,640,255687,http://sws.geonames.org/255687/,Patmos,distance,2.547,precise,settlement,ISL,island
599871,http://pleiades.stoa.org/places/599871,Patmos,settlement,-750,640,255688,http://sws.geonames.org/255688/,Patmos,distance,0.075,precise,settlement,PPLA3,seat of a third-order administrative division
599872,http://pleiades.stoa.org/places/599872,Patmos (island),island,-550,2100,255687,http://sws.geonames.org/255687/,Patmos,distance,2.001,precise,island,ISL,island
599872,http://pleiades.stoa.org/places/599872,Patmos (island),island,-550,2100,255688,http://sws.geonames.org/255688/,Patmos,distance,1.208,precise,island,PPLA3,seat of a third-order administrative division
599888,http://pleiades.stoa.org/places/599888,Physkos,settlement,-550,640,10253048,http://sws.geonames.org/10253048/,Physkos,distance,1.544,precise,settlement,ANS,archaeological/prehistoric site
599905,http://pleiades.stoa.org/places/599905,Priene/‘Lince’?,"settlement, archaeological-site",-550,1999,7733372,http://sws.geonames.org/7733372/,,distance,0.031,precise,settlement,ANS,archaeological/prehistoric site
599910,http://pleiades.stoa.org/places/599910,Pserimos (island),island,1700,2100,264325,http://sws.geonames.org/264325/,Pserimos,distance,2.529,precise,island,PPL,populated place
599925,http://pleiades.stoa.org/places/599925,Samos (settlement),settlement,-750,640,254115,http://sws.geonames.org/254115/,Samos,distance,7.878,precise,settlement,PPLA2,seat of a second-order administrative division
599926,http://pleiades.stoa.org/places/599926,Samos (island),island,-550,2100,10280733,http://sws.geonames.org/10280733/,Samos,distance,2.502,precise,island,HTL,hotel
599926,http://pleiades.stoa.org/places/599926,Samos (island),island,-550,2100,254114,http://sws.geonames.org/254114/,Samos Island,distance,2.496,precise,island,ISL,island
599926,http://pleiades.stoa.org/places/599926,Samos (island),island,-550,2100,8133749,http://sws.geonames.org/8133749/,,distance,2.583,precise,island,ADM3,third-order administrative division
599928,http://pleiades.stoa.org/places/599928,Schinoussa (island),island,1700,2100,253650,http://sws.geonames.org/253650/,Schinoussa,distance,1.846,precise,island,PPL,populated place
599944,http://pleiades.stoa.org/places/599944,Sporades (archipelago),"archipelago, island",-30,300,251155,http://sws.geonames.org/251155/,Northern Sporades,bbox,0.0,related,"archipelago, island",ISLS,islands
599947,http://pleiades.stoa.org/places/599947,Stratonikeia,settlement,-330,640,8224452,http://sws.geonames.org/8224452/,,distance,0.218,precise,settlement,ANS,archaeological/prehistoric site
599950,http://pleiades.stoa.org/places/599950,Syme,settlement,-750,300,253857,http://sws.geonames.org/253857/,Nisí Sými,distance,2.71,precise,settlement,ISL,island
