qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q211439,fodder,Q2836947,animal feed,Q11451|Q80962,agriculture|animal husbandry,,,,4019014-6,sh85047658,636.0855|664.66|664.76,,00035566n,Fodder,,,
Q132116,folkloristics,Q28598,cultural anthropology,,,,,,4329183-1,sh85050150,398.092,300055920,,,,,
Q115158945,folktale study,,,,,,,,,,,,,,,,
Q2095,food,Q1194058|Q214609|Q118451828,disposable product|material|food and beverage,Q13538519,edible,Q25403900|Q283,food ingredient|water,,4034870-2,sh85050184,641,300254496,00035650n,Food,,,
Q123518019,food and nutritional science,Q110231626,"agricultural, veterinary and food sciences",Q425694,home economics,Q17652193|Q1637030,nutritional science|food science,,,,,,,,,,
Q64816594,food chain and health,,,,,,,,,,,,,,,,
Q910172,food chemistry,Q2329|Q1637030,chemistry|food science,,,,,,4034873-8,sh85050191,664.07,,,FoodChemistry,,,
Q119710413,food control,Q1519812,health policy,,,,,,,,,,,,,,
Q6631525,food engineering,Q11023|Q11016,engineering|technology,,,,,,,,,,,,,,
Q65292971,food environmental science,,,,,,,,,,,,,,,,
Q136800541,food hygiene and safety science,Q1637030|Q136800559,food science|hygiene science,,,,,,,,,,,,,,
Q1810993,food microbiology,Q3054637|Q3536001|Q7193,microbial ecology|Food sampling|microbiology,,,,,,,,,,,FoodMicrobiology,,,
Q10566261,food nutrition research,Q113129166|Q1637030,nutrition and dietetics|food science,,,,,,,,,,,,,,
Q110542363,food nutritional balance,Q17652193,nutritional science,,,,,,,,,,,,,,
Q627371,food processing,Q104637425|Q130751223,material process|food production,Q5465532,food system,,,,,,,,,FoodProcessing,,,
Q130751223,food production,Q739302,economic production,Q540912,food industry,,,,,,,,,,,,
Q909821,food safety,Q1229911|Q10566551|Q119710413,food security|safety|food control,,,,,,4034887-8,,,,03684806n,,,,
Q1637030,food science,Q336|Q83588|Q123518019,science|chemical engineering|food and nutritional science,Q420|Q2329|Q21201|Q123518019,biology|chemistry|sociology|food and nutritional science,,,,4167048-6,sh2018000786,,,15882239n,,,,
Q65292961,food science department,,,,,,,,,,,,,,,,
Q1229911,food security,Q2917873|Q2526135|Q2281169,human development|security|supply-chain security,,,,,,,sh2009007706,,,01449355n,FoodSecurity,,,
Q41958,food service,Q55638|Q540912,tertiary sector of the economy|food industry,Q1431026,horeca,,,,4388098-8,sh99005393,338.4764795|338.76164795|642.4|647.95,,,Foodservice,,,
Q3232953,food studies,,,,,,,,,,,,,,,,
Q1039642,food technology,Q1637030,food science,,,,,,4034901-9,,664,,,,,,
Q65292953,foods and nutritional sciences department,,,,,,,,,,,,,,,,
Q134831871,football economics,,,Q5817289,sports economics,,,,,,,,,,,,
Q104486725,foreign area studies,,,,,,,,,,,,,,,,
Q123563189,foreign language research,Q8162,linguistics,,,Q2696615,foreign-language pedagogy,,,,,,,,,,
Q102301676,foreign missions,,,,,,,,,,,,,,,,
Q181648,foreign policy,Q546113|Q1914636,public policy|activity,Q7163|Q610018,politics|foreign relations,Q572564|Q2827815|Q1667082|Q1456887|Q1456907,commercial policy|international aid|military policy|policy of peace|Q1456907,1907412,4003846-4,sh85050519,,,,,,,
Q5468430,foreign policy analysis,Q2101508,policy analysis,,,,,,,,,,,,,,
Q610018,foreign relations,Q546113|Q930933|Q1762091,public policy|relation|international politics,,,,,,4272415-6,sh85050519,,,02975469n,ForeignRelations,,,
Q2696615,foreign-language pedagogy,Q7921|Q520855|Q123563189,didactic method|language pedagogy|foreign language research,Q520855,language pedagogy,,,,,,,,,,,,
Q28065,forensic anthropology,Q495304|Q23404,forensic science|anthropology,,,,,,,sh85050537,614.17,,,ForensicAnthropology,,,
Q1328688,forensic biology,Q495304|Q420,forensic science|biology,,,,,1739926,,sh2006002547,,,,,,,
Q25344799,forensic epidemiology,Q133805|Q454812,epidemiology|medical jurisprudence,,,,,,,,,,,,,,
Q108570409,forensic forestry,Q495304|Q38112,forensic science|forestry,,,,,,,sh2021003625,,,,,,,
Q60740595,forensic genetics,Q2314618,forensic identification,,,,,,,,,,,,,,
Q938318,forensic linguistics,Q495304|Q321249,forensic science|applied linguistics,,,,,,,,,,03432138n,,,,
Q116874529,forensic microbiology,Q495304,forensic science,,,,,,,,,,,,,,
Q5468718,forensic osteology,Q819121|Q28065,osteology|forensic anthropology,,,,,,,,,,,,,,
Q105459634,forensic proteomics,Q471857|Q60740595,proteomics|forensic genetics,,,,,,,sh2020000086,,,,,,RA1057.57,
