id,label,federation,domain,uri,concept_ref,text_ref,survey_depth,is_seed,lcc,oclc,lccn
73003905,"Primitive Italy and the beginnings of Roman imperialism,",worldcat,roman_republic,http://lccn.loc.gov/73003905,,http://lccn.loc.gov/73003905,0,False,DG209 .H653 1968b,,73003905
73165768,"The rise of Rome, to 264 B.C.;",worldcat,roman_republic,http://lccn.loc.gov/73165768,,http://lccn.loc.gov/73165768,0,False,DG231 .H4613 1973b,,73165768
2013910652,Ancient Rome : a new history,worldcat,roman_republic,http://lccn.loc.gov/2013910652,,http://lccn.loc.gov/2013910652,0,False,DG209 .P67 2014,,2013910652
2017394074,Roman republic at war : a compendium of battles from 498 to 31 BC,worldcat,roman_republic,http://lccn.loc.gov/2017394074,,http://lccn.loc.gov/2017394074,0,False,DG231 .T39 2017,,2017394074
35016738,"A history of the Roman world from 753 to 146 B. C.,",worldcat,roman_republic,http://lccn.loc.gov/35016738,,http://lccn.loc.gov/35016738,0,False,DG231 .S35,,35016738
72172744,The history of early Rome,worldcat,roman_republic,http://lccn.loc.gov/72172744,,http://lccn.loc.gov/72172744,0,False,DG207.L5 B35 1972,,72172744
2010414501,The history of early Rome,worldcat,roman_republic,http://lccn.loc.gov/2010414501,,http://lccn.loc.gov/2010414501,0,False,PA6452 .A5 1970,,2010414501
04037241,"Early Rome,",worldcat,roman_republic,http://lccn.loc.gov/04037241,,http://lccn.loc.gov/04037241,0,False,DG231 .I3 1882,,04037241
05008476,The legendary history of Rome.,worldcat,roman_republic,http://lccn.loc.gov/05008476,,http://lccn.loc.gov/05008476,0,False,DG207.L5 B35,,05008476
2006043351,"The history of Rome, books 1-5",worldcat,roman_republic,http://lccn.loc.gov/2006043351,,http://lccn.loc.gov/2006043351,0,False,PA6452 .A5 2006,,2006043351
2012016837,A history of the Roman world : 753 to 146 BC,worldcat,roman_republic,http://lccn.loc.gov/2012016837,,http://lccn.loc.gov/2012016837,0,False,DG231 .S35 2013,,2012016837
2011020871,The earliest Romans : a character sketch,worldcat,roman_republic,http://lccn.loc.gov/2011020871,,http://lccn.loc.gov/2011020871,0,False,DG78 .M329 2011,,2011020871
