period,periodLabel,start,end,instanceOf,instanceOfLabel,subclassOf,subclassOfLabel,partOf,partOfLabel
http://www.wikidata.org/entity/Q44155,Mesolithic,-9000-01-01T00:00:00Z,-5000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11759,Stone Age,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q97317547,Middle Neolithic,-5000-01-01T00:00:00Z,-4300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q132855824,Q132855824,-6500-01-01T00:00:00Z,-3549-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q60259056,African humid period,-13500-01-01T00:00:00Z,-3500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,,
http://www.wikidata.org/entity/Q97317435,Late Neolithic,-4400-01-01T00:00:00Z,-3500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q962354,Amratian culture,-3999-01-01T00:00:00Z,-3499-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,http://www.wikidata.org/entity/Q753391,Naqada culture,http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt
http://www.wikidata.org/entity/Q123399156,Early Jōmon,-4998-01-01T00:00:00Z,-3499-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q52824,Jōmon period
http://www.wikidata.org/entity/Q245156,Ubaid period,-5500-01-01T00:00:00Z,-3499-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q130253,Chalcolithic
http://www.wikidata.org/entity/Q114877817,Uruk V Period,-3499-01-01T00:00:00Z,-3349-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q906822,Gerzeh culture,-3649-01-01T00:00:00Z,-3299-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,,,http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt
http://www.wikidata.org/entity/Q114877809,Uruk IV Period,-3349-01-01T00:00:00Z,-3199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt,-6500-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q208520,Prehistoric Egypt
http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt,-6500-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q2310752,prehistory and early history
http://www.wikidata.org/entity/Q208520,Prehistoric Egypt,-40000-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,,,http://www.wikidata.org/entity/Q185301,history of Egypt
http://www.wikidata.org/entity/Q109827877,Late Chalcolithic in Greater Mesopotamia,-3999-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q130253,Chalcolithic
http://www.wikidata.org/entity/Q731494,Uruk period,-3999-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q130253,Chalcolithic
http://www.wikidata.org/entity/Q721840,Naqada III,-3199-01-01T00:00:00Z,-3059-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,,,http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt
http://www.wikidata.org/entity/Q721840,Naqada III,-3199-01-01T00:00:00Z,-3059-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,,,http://www.wikidata.org/entity/Q753391,Naqada culture
http://www.wikidata.org/entity/Q2511922,Holocene climatic optimum,-7000-01-01T00:00:00Z,-3000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q25445,Holocene
http://www.wikidata.org/entity/Q6647910,lithic stage,-18000-01-01T00:00:00Z,-2999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,,
http://www.wikidata.org/entity/Q114877803,Uruk III Period,-3199-01-01T00:00:00Z,-2999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q36422,Neolithic,-9000-01-01T00:00:00Z,-2999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11756,prehistory,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q36422,Neolithic,-5500-01-01T00:00:00Z,-2999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11756,prehistory,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q36422,Neolithic,-5200-01-01T00:00:00Z,-2999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11756,prehistory,http://www.wikidata.org/entity/Q11759,Stone Age
