property_id,property_label,property_description,type_qids,type_labels,primary_facet,secondary_facets,all_facets,is_historical,is_authority_control,confidence,type_count
P6,head of government,"head of the executive power of this town, city, municipality, state, country, or other governmental body","Q22997934,Q22984475",Wikidata property related to government and state | Wikidata property related to politics,POLITICAL,,POLITICAL,False,False,0.8,2
P10,video,"relevant video; use property P18 for images; for film trailers, qualify with ""object has role"" (P3831)=""trailer"" (Q622550); for films, qualify with ""object has role"" (P3831)=""full video available on Wikimedia Commons"" (Q89347362)","Q18610173,Q19847637,Q121928698,Q26940804,Q113336763",Wikidata property to link to Commons | Wikidata property for an identifier | Q121928698 | Wikidata property for linking to a representative image | Q113336763,UNKNOWN,,,False,False,0.5,5
P14,traffic sign,"graphic symbol describing the item, used at the side of or above roads to give instructions or provide information to road users","Q18610173,Q23069616,Q26940804,Q121928698",Wikidata property to link to Commons | Wikidata property related to road transport | Wikidata property for linking to a representative image | Q121928698,UNKNOWN,,,False,False,0.5,4
P15,route map,image of route map at Wikimedia Commons,"Q18610173,Q22984363,Q26940804,Q121928698",Wikidata property to link to Commons | Wikidata property related to transport | Wikidata property for linking to a representative image | Q121928698,UNKNOWN,,,False,False,0.5,4
P16,transport network,network the infrastructure is a part of,Q22984363,Wikidata property related to transport,UNKNOWN,,,False,False,0.5,1
P17,country,sovereign state that this item is in (not to be used for human beings),"Q19829914,Q26935994,Q70564278","Wikidata property related to places | Wikidata property encoding a vCard value | Wikidata property used as ""depicts"" (P180) qualifier on Commons",GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,3
P18,image,"image of relevant illustration of the subject; if available, also use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image, collage image)","Q18610173,Q26935994,Q26940804,Q18608359,Q54275340,Q121928698",Wikidata property to link to Commons | Wikidata property encoding a vCard value | Wikidata property for linking to a representative image | Wikidata property to indicate a source | Wikidata property for lexicographic senses | Q121928698,UNKNOWN,,,False,False,0.5,6
P19,place of birth,"most specific known birth location of a person, animal or fictional character","Q18608756,Q18635217,Q26935994,Q18608871,Q99567026","Wikidata property for birth or death | Wikidata property for specifying the location of an event | Wikidata property encoding a vCard value | Wikidata property for items about people | Wikidata property with a single value, but different precisions and references can lead to multiple values",GEOGRAPHIC,"DEMOGRAPHIC,BIOGRAPHIC","GEOGRAPHIC,DEMOGRAPHIC,BIOGRAPHIC",False,False,0.8,5
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character","Q115456034,Q18635217,Q26935994,Q18608871,Q99567026","Q115456034 | Wikidata property for specifying the location of an event | Wikidata property encoding a vCard value | Wikidata property for items about people | Wikidata property with a single value, but different precisions and references can lead to multiple values",GEOGRAPHIC,DEMOGRAPHIC,"GEOGRAPHIC,DEMOGRAPHIC",False,False,0.8,5
P21,sex or gender,"sex or gender identity of human or animal. For human: male, female, non-binary, intersex, transgender female, transgender male, agender, etc. For animal: male organism, female organism. Groups of same gender use subclass of (P279)","Q18608871,Q26935994,Q63870987,Q70564278,Q107417519,Q121928698","Wikidata property for items about people | Wikidata property encoding a vCard value | Wikidata property related to LGBT | Wikidata property used as ""depicts"" (P180) qualifier on Commons | Wikidata property about subject’s gender | Q121928698",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,6
P22,father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)","Q22964231,Q26935994,Q99567026,Q18647519","Q22964231 | Wikidata property encoding a vCard value | Wikidata property with a single value, but different precisions and references can lead to multiple values | asymmetric Wikidata property",UNKNOWN,,,False,False,0.5,4
P25,mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)","Q22964231,Q28649030,Q99567026,Q18647519","Q22964231 | Wikidata property related to women and feminism | Wikidata property with a single value, but different precisions and references can lead to multiple values | asymmetric Wikidata property",UNKNOWN,,,False,False,0.5,4
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions","Q26935994,Q22964231",Wikidata property encoding a vCard value | Q22964231,UNKNOWN,,,False,False,0.5,2
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,"Q18608871,Q70564278","Wikidata property for items about people | Wikidata property used as ""depicts"" (P180) qualifier on Commons",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P30,continent,continent of which the subject is a part,Q18615777,Wikidata property to indicate a location,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,1
P31,instance of,type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain,"Q18616576,Q115490628,Q28326730",Wikidata property | Q115490628 | Wikidata property for the relationship of the element to its class,UNKNOWN,,,False,False,0.5,3
P35,head of state,official with the highest formal authority in a country/state,"Q22984475,Q22997934",Wikidata property related to politics | Wikidata property related to government and state,POLITICAL,,POLITICAL,False,False,0.8,2
P36,capital,"seat of government of a country, province, state or other type of administrative territorial entity",Q18615777,Wikidata property to indicate a location,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,1
P37,official language,language designated as official by this item,Q18616084,Wikidata property to indicate a language,LINGUISTIC,,LINGUISTIC,False,False,0.8,1
P38,currency,currency used by item,Q21451178,Wikidata property related to economics,ECONOMIC,,ECONOMIC,False,False,0.8,1
P39,position held,subject currently or formerly holds the object position or public office,"Q18608871,Q26935994,Q480319",Wikidata property for items about people | Wikidata property encoding a vCard value | Q480319,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,3
P40,child,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""kinship to subject"" (P1039)","Q22964231,Q26935994,Q18647519",Q22964231 | Wikidata property encoding a vCard value | asymmetric Wikidata property,UNKNOWN,,,False,False,0.5,3
P41,flag image,image of the item's flag,"Q18610173,Q22997934,Q26940804,Q121928698",Wikidata property to link to Commons | Wikidata property related to government and state | Wikidata property for linking to a representative image | Q121928698,POLITICAL,,POLITICAL,False,False,0.8,4
P47,shares border with,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.",Q18615777,Wikidata property to indicate a location,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,1
P50,author,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist","Q134476104,Q18608359,Q70564278","Q134476104 | Wikidata property to indicate a source | Wikidata property used as ""depicts"" (P180) qualifier on Commons",UNKNOWN,,,False,False,0.5,3
