seed_qid,seed_label,delta_qid,delta_label,backlink_hits
Q3952,Late Republic (periodization),Q115792512,Ella Feldmeier,1
Q3952,Late Republic (periodization),Q116266350,Wilhelm Facilides,1
Q3952,Late Republic (periodization),Q116272096,Sachsendruck Plauen,1
Q3952,Late Republic (periodization),Q116272196,Moritz Wieprecht,1
Q3952,Late Republic (periodization),Q116739536,Monique Kribus,1
Q3952,Late Republic (periodization),Q116803620,Friedensstraße privacy wall,1
Q3952,Late Republic (periodization),Q116807312,Friedensstraße 12,1
Q3952,Late Republic (periodization),Q116812649,Otto Erbert,1
Q3952,Late Republic (periodization),Q116838047,Windmühlenstraße 26,1
Q3952,Late Republic (periodization),Q116838357,Windmühlenstraße 33,1
Q3952,Late Republic (periodization),Q116838987,Eugen-Fritsch-Straße 44,1
Q3952,Late Republic (periodization),Q116850824,Marktstraße 17,1
Q3952,Late Republic (periodization),Q116871802,Weststraße 36,1
Q3952,Late Republic (periodization),Q116884524,Weststraße 61,1
Q3952,Late Republic (periodization),Q116885121,Oskar Theodor Kuntze memorial stone,1
Q3952,Late Republic (periodization),Q116890087,Hammerstraße 57,1
Q3952,Late Republic (periodization),Q116920765,August Bebel memorial plaque,1
Q3952,Late Republic (periodization),Q116925771,Herbert G. Kariel,1
Q3952,Late Republic (periodization),Q116928302,Syra weir Kauschwitz,1
Q3952,Late Republic (periodization),Q116939509,Alleestraße 2,1
Q3952,Late Republic (periodization),Q116939551,Alleestraße 4,1
Q3952,Late Republic (periodization),Q116945365,Fritz Baeßler,1
Q3952,Late Republic (periodization),Q116951963,Coat of arms of Plauen,1
Q3952,Late Republic (periodization),Q116994707,Nonnenturm,1
Q3952,Late Republic (periodization),Q117007103,City fortification Plauen,1
Q3952,Late Republic (periodization),Q117026538,Falconry Herrmann,1
Q3952,Late Republic (periodization),Q11736045,Karol Gottlob Anstadt,1
Q3952,Late Republic (periodization),Q11764785,MAN Lion's City DD,1
Q3952,Late Republic (periodization),Q117884152,Plauener Weg,1
Q3952,Late Republic (periodization),Q118140175,Ruth Müller-Landauer,1
Q3952,Late Republic (periodization),Q118189562,Simon Lucaciu,1
Q3952,Late Republic (periodization),Q118383467,Hans-Wolfgang Weber,1
Q3952,Late Republic (periodization),Q1201342,Detlef Rößler,1
Q3952,Late Republic (periodization),Q120400783,Versöhnungskirche,1
Q3952,Late Republic (periodization),Q1204029,Q1204029,1
Q3952,Late Republic (periodization),Q121438421,Friedrich Wilhelm Strobel,1
Q3952,Late Republic (periodization),Q122175024,Lilli Falk,1
Q3952,Late Republic (periodization),Q1223376,Dietmar Enderlein,1
Q3952,Late Republic (periodization),Q122342323,Rittergut Oberlosa,1
Q3952,Late Republic (periodization),Q122937238,Colorido e.V.,1
Q3952,Late Republic (periodization),Q123115163,Polizeipräsidium Plauen,1
Q3952,Late Republic (periodization),Q123145875,Black footbridge Plauen,1
Q3952,Late Republic (periodization),Q123176878,Polizeipräsidium Plauen: Archival records now searchable online,1
Q3952,Late Republic (periodization),Q123271757,Gerhard Schmidt,1
Q3952,Late Republic (periodization),Q123280235,Sigrid Lang,1
Q3952,Late Republic (periodization),Q123554947,Q123554947,1
Q3952,Late Republic (periodization),Q123683104,Emil Fischer,1
Q3952,Late Republic (periodization),Q1239009,Herbert Major,1
Q3952,Late Republic (periodization),Q124048844,Alter Teich 11,1
Q3952,Late Republic (periodization),Q124048845,Altmarkt 1,1
Q3952,Late Republic (periodization),Q124048847,Q124048847,1
Q3952,Late Republic (periodization),Q124048848,Obere Endestraße 1,1
Q3952,Late Republic (periodization),Q124048849,Altmarkt 9,1
Q3952,Late Republic (periodization),Q124048850,Altmarkt 10,1
Q3952,Late Republic (periodization),Q124048851,Altmarkt 11,1
Q3952,Late Republic (periodization),Q124048852,Altmarkt 12,1
Q3952,Late Republic (periodization),Q124048853,Altmarkt 13,1
Q3952,Late Republic (periodization),Q124048854,Altmarkt 14,1
Q3952,Late Republic (periodization),Q124048855,"Annenstraße 21, 23",1
Q3952,Late Republic (periodization),Q124048856,Q124048856,1
