qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q1383,Lake Huron,Q23397,lake,yes,Q23397,lake,,,Q1377732|Q7347|Q119515,Lake Michigan–Huron|Great Lakes|Canada–United States border,65,37,P10046|P10376|P12086|P1225|P12385|P12800|P1296|P131|P13139|P1343|P13591|P1417|P1566|P1667|P17|P18|P1889|P200|P201|P2043|P2044|P2046|P2049|P2053|P207|P214|P2163|P2234|P227|P2326|P242|P244|P2547|P2924|P3020|P31|P3417|P361|P373|P3749|P402|P4342|P4511|P4614|P4619|P47|P5008|P5063|P527|P5395|P590|P5905|P6058|P625|P646|P691|P7305|P7502|P7867|P8189|P821|P8313|P8408|P8814|P910
Q3272,Lake Winnipeg,Q23397,lake,yes,Q23397,lake,,,,,51,24,P10565|P11137|P12086|P12385|P1296|P131|P13139|P1343|P13591|P1417|P155|P1566|P1667|P17|P1705|P18|P1889|P200|P201|P2043|P2044|P2046|P2049|P2053|P214|P2234|P227|P242|P2547|P269|P2924|P3020|P31|P373|P402|P4342|P4511|P4614|P5008|P5063|P527|P5395|P625|P646|P691|P7305|P7867|P821|P8408|P8814|P910
Q3369,Müritz,Q23397,lake,yes,Q23397,lake,,,Q21360379,Mecklenburg Great Lakeland,32,10,P11514|P1183|P131|P1417|P1566|P17|P18|P200|P201|P2043|P2044|P2046|P2049|P205|P2053|P214|P2234|P227|P31|P361|P373|P402|P421|P4342|P443|P4511|P5866|P625|P646|P691|P910|P989
Q4138,Chiemsee,Q23397,lake,yes,Q23397,lake,,,,,61,29,P11514|P1200|P1225|P12385|P1296|P13061|P131|P1343|P13591|P1417|P1435|P1566|P17|P18|P1889|P200|P201|P2043|P2044|P2046|P2049|P205|P2053|P214|P2163|P2234|P227|P242|P244|P2525|P2547|P2572|P3018|P31|P3222|P3417|P373|P4002|P402|P4202|P421|P4342|P4511|P4614|P4640|P5866|P625|P646|P691|P7305|P7502|P7982|P8189|P8313|P8519|P8593|P910|P935|P948|P949|P9957
Q4269,Lake Poteriteri,Q23397,lake,yes,Q23397,lake,,,,,15,5,P12385|P1296|P131|P1566|P17|P18|P200|P201|P2044|P2046|P3018|P31|P5104|P625|P646
Q4272,Lake Waikaremoana,Q23397,lake,yes,Q23397,lake,,,,,24,11,P10832|P131|P13139|P1417|P1566|P17|P18|P200|P201|P2044|P2046|P214|P244|P269|P3018|P31|P373|P4511|P5104|P527|P625|P646|P8189|P949
Q81293,Lake Ballivián,Q23397,lake,no,Q23397,lake,,,,,4,2,P1417|P17|P31|P646
Q46586,Qachu Quta,Q23397,lake,no,Q23397,lake,,,,,3,1,P17|P31|P646
Q3306186,seas west of Scotland,Q165,sea,yes,Q165,sea,,,,,6,2,P17|P207|P2671|P31|P625|P646
Q3306193,West Philippine Sea,Q165,sea,yes,Q165|Q4835091,sea|territory,,,Q37660,South China Sea,13,3,P131|P1566|P17|P1889|P205|P2326|P242|P2671|P31|P361|P373|P4330|P625
