qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q111657361,Bronsålder Period IV,temporal,P580,start time,0,normal,,time=-1100-00-00T00:00:00Z;precision=8,time=-1100-00-00T00:00:00Z;precision=8,vn2frrx4q
Q111657361,Bronsålder Period IV,temporal,P582,end time,0,normal,,time=-0900-00-00T00:00:00Z;precision=8,time=-0900-00-00T00:00:00Z;precision=8,vn2frrx4q
Q111657361,Bronsålder Period IV,hierarchy,P156,followed by,0,normal,Q111657374,Bronsålder Period V,,vn2frrx4q
Q111657361,Bronsålder Period IV,temporal,P9350,PeriodO period ID,0,normal,,vn2frrx4q,vn2frrx4q,vn2frrx4q
Q111657374,Bronsålder Period V,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,vn2frrq4x
Q111657374,Bronsålder Period V,hierarchy,P155,follows,0,normal,Q111657361,Bronsålder Period IV,,vn2frrq4x
Q111657374,Bronsålder Period V,hierarchy,P361,part of,0,normal,Q1758757,Late Bronze Age (Europe),,vn2frrq4x
Q111657374,Bronsålder Period V,temporal,P580,start time,0,normal,,time=-0900-00-00T00:00:00Z;precision=8,time=-0900-00-00T00:00:00Z;precision=8,vn2frrq4x
Q111657374,Bronsålder Period V,temporal,P582,end time,0,normal,,time=-0600-00-00T00:00:00Z;precision=8,time=-0600-00-00T00:00:00Z;precision=8,vn2frrq4x
Q111657374,Bronsålder Period V,hierarchy,P156,followed by,0,normal,Q111657385,Bronsålder Period VI,,vn2frrq4x
Q111657374,Bronsålder Period V,temporal,P9350,PeriodO period ID,0,normal,,vn2frrq4x,vn2frrq4x,vn2frrq4x
Q111657385,Bronsålder Period VI,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,vn2frdpb3
Q111657385,Bronsålder Period VI,hierarchy,P361,part of,0,normal,Q1758757,Late Bronze Age (Europe),,vn2frdpb3
Q111657385,Bronsålder Period VI,hierarchy,P155,follows,0,normal,Q111657374,Bronsålder Period V,,vn2frdpb3
Q111657385,Bronsålder Period VI,temporal,P580,start time,0,normal,,time=-0600-00-00T00:00:00Z;precision=8,time=-0600-00-00T00:00:00Z;precision=8,vn2frdpb3
