qid,label,periodo_ids,property_count,property_ids,p31_qids,p31_labels,p279_qids,p361_qids,geo_edge_props,geo_objects
Q239060,Arab Revolt,6c6g32wkw,27,P10565 | P13591 | P1368 | P13750 | P163 | P17 | P18 | P2163 | P227 | P244 | P2581 | P268 | P276 | P31 | P361 | P373 | P5008 | P580 | P582 | P585 | P6404 | P646 | P691 | P8189 | P8313 | P910 | P9350,Q124734 | Q6107280,rebellion | revolt,,Q1765465,P17 | P276,Q12560:Ottoman Empire | Q1372503:Syria Vilayet | Q3558385:Hejaz Vilayet
Q277399,British Iron Age,kh9dsj33x,14,P155 | P156 | P1617 | P17 | P18 | P279 | P31 | P373 | P580 | P582 | P646 | P7867 | P910 | P9350,Q816829,periodization,Q11764,,P17,Q145:United Kingdom
Q29297050,Neo-Elamite period,7ffbfx45f,11,P155 | P156 | P17 | P31 | P361 | P373 | P4212 | P571 | P580 | P582 | P9350,Q11514315 | Q15401633,historical period | archaeological period,,Q35355 | Q128904,P17,Q794:Iran
Q29297151,Middle Elamite period,7ffbfknpj,11,P1014 | P155 | P156 | P17 | P31 | P361 | P373 | P4212 | P580 | P582 | P9350,Q11514315,historical period,,Q128904,P17,Q794:Iran
Q300887,Aalenian,9qtgw2x4f,32,P12385 | P12582 | P1296 | P13266 | P13372 | P13426 | P138 | P1417 | P155 | P156 | P17 | P18 | P2004 | P2695 | P31 | P3222 | P361 | P3938 | P4212 | P465 | P580 | P582 | P625 | P646 | P6706 | P7153 | P8313 | P8669 | P910 | P9350 | P9765 | P9867,Q1123245 | Q568683,stage | age,,Q500054 | Q63463770,P17 | P7153,Q29:Spain | Q986555:Fuentelsaz
Q301728,Albian,9qtgw7bg4,26,P10565 | P12385 | P1296 | P13426 | P1343 | P138 | P1417 | P155 | P156 | P17 | P2695 | P31 | P361 | P373 | P3827 | P3938 | P4212 | P465 | P580 | P582 | P625 | P646 | P6706 | P910 | P9350 | P9867,Q1123245 | Q568683,stage | age,,Q752187 | Q63463770,P17,Q142:France
Q3125096,Meiji period,8m57hsw5p,54,P1014 | P10283 | P11408 | P11835 | P1190 | P12086 | P12596 | P1343 | P13591 | P13613 | P138 | P155 | P156 | P17 | P170 | P1705 | P18 | P227 | P244 | P268 | P2924 | P31 | P3219 | P3417 | P349 | P3569 | P361 | P373 | P3827 | P457 | P487 | P5008 | P527 | P5587 | P580 | P582 | P6058 | P6366 | P6385 | P6404 | P646 | P6900 | P7305 | P7326 | P7786 | P8189 | P8313 | P8406 | P8408 | P8785 | P8885 | P910 | P9350 | P948,Q24706 | Q7310094 | Q11514315,Japanese era name | reign | historical period,,Q130436,P17,Q17:Japan
Q3641960,Bombing of Rome in World War II,6c6g3pmfn,17,P131 | P13591 | P17 | P18 | P2163 | P244 | P276 | P31 | P361 | P373 | P580 | P582 | P585 | P625 | P646 | P8189 | P9350,Q841418,strategic bombing,,Q718462,P131 | P17 | P276,Q220:Rome | Q38:Italy
Q4096987,British Bronze Age,kh9ds7q8m,12,P155 | P156 | P17 | P279 | P31 | P361 | P373 | P580 | P582 | P646 | P910 | P9350,Q816829,periodization,Q2394404,Q1379246,P17,Q145:United Kingdom
Q419594,Akkad period,7ffbf6hdp,10,P1014 | P155 | P156 | P1889 | P2671 | P276 | P31 | P580 | P582 | P9350,Q11514315 | Q465299 | Q11042 | Q1292119,historical period | archaeological culture | culture | style,,,P276,Q11767:Mesopotamia
Q42005,Black Death,pgmrbmd5t,55,P10565 | P11093 | P1120 | P11514 | P12086 | P12385 | P1245 | P12800 | P1296 | P1299 | P1343 | P13591 | P1417 | P1430 | P1438 | P1478 | P1617 | P17 | P18 | P2163 | P2347 | P244 | P268 | P269 | P276 | P279 | P2924 | P31 | P3222 | P3417 | P373 | P4342 | P4839 | P495 | P5008 | P5019 | P527 | P580 | P582 | P5986 | P6293 | P6366 | P6385 | P646 | P7305 | P7502 | P8168 | P8189 | P828 | P8313 | P8408 | P9000 | P9082 | P910 | P9350,Q3241045 | Q12184,disease outbreak | pandemic,Q1516910,,P17 | P276,Q159:Russia | Q18869:Caucasus | Q227:Azerbaijan | Q230:Georgia | Q27381:North Africa | Q399:Armenia | Q46:Europe | Q48:Asia
Q476855,Mau Mau Uprising,06c6g3nkk,30,P12385 | P1296 | P1343 | P13591 | P1417 | P1617 | P17 | P18 | P2163 | P227 | P244 | P2581 | P276 | P2924 | P31 | P3222 | P361 | P373 | P4342 | P4527 | P580 | P582 | P585 | P6404 | P646 | P6723 | P691 | P8189 | P910 | P9350,Q1323212,insurgency,,Q1146918,P17 | P276,Q114:Kenya | Q2538511:Kenya Colony
Q478301,Hussite Wars,6c6g3vnns,28,P10565 | P1343 | P13591 | P1417 | P18 | P2163 | P227 | P244 | P2581 | P276 | P31 | P361 | P373 | P5008 | P580 | P582 | P6228 | P646 | P691 | P7293 | P7305 | P8189 | P9000 | P9037 | P9082 | P910 | P935 | P9350,Q1827102,religious war,,Q12546,P276,Q27509:Central Europe
Q486761,classical antiquity,8m57hmxmp,68,P1014 | P10283 | P1036 | P10913 | P11514 | P1256 | P12596 | P1269 | P12721 | P1343 | P13461 | P13990 | P1417 | P155 | P156 | P1617 | P18 | P1810 | P1889 | P227 | P2347 | P244 | P2579 | P2581 | P268 | P276 | P279 | P2924 | P31 | P3222 | P3417 | P361 | P373 | P3827 | P3916 | P4212 | P4342 | P4644 | P5002 | P5008 | P508 | P5198 | P527 | P580 | P582 | P5922 | P6262 | P6366 | P646 | P6839 | P691 | P7033 | P7305 | P7326 | P7842 | P8168 | P8189 | P8313 | P8406 | P8408 | P8529 | P8814 | P8895 | P910 | P9223 | P9350 | P9466 | P9495,Q11514315 | Q1292119,historical period | style,Q41493,Q41493,P276,Q11772:Ancient Greece | Q1747689:Ancient Rome
